symbol,coverage_start,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,fees,slippage,net_pnl,return,exit_reason,holding_days,strategy_version
02677.HK,20260206,20260209,69.86979999999998,20260209,60.1398,1431,-13923.629999999976,309.31253891999995,186.02999999998332,-14232.942538919975,-0.14235265193259442,stop_loss,1,reversal
02692.HK,20260309,20260310,75.07499999999999,20260310,91.908,1332,22421.556000000026,389.32708319999995,222.4439999999832,22032.228916800024,0.22032250949050977,take_profit,1,reversal
02701.HK,20260323,20260324,11.741729999999999,20260324,10.62936,8516,-9472.942919999987,319.134272688,190.50291999998868,-9792.077192687986,-0.09792804535617823,stop_loss,1,reversal
02715.HK,20260309,20260310,12.522509999999999,20260312,13.59639,7985,8574.931800000006,358.83847395,208.5681999999905,8216.093326050006,0.08216730751263132,holding_period,3,reversal
02726.HK,20260330,20260331,102.10199999999999,20260331,94.5054,979,-7437.071400000001,323.49516012,192.47139999998967,-7760.566560120001,-0.07763838396897221,stop_loss,1,reversal
02729.HK,20260324,20260325,30.710679999999996,20260327,31.968,3256,4093.833920000019,348.985946496,204.08607999998938,3744.847973504019,0.03745073648646028,holding_period,3,reversal
02768.HK,20260204,20260205,40.22017999999999,20260209,41.178779999999996,2486,2383.0795999999973,345.19982455199994,202.36039999998764,2037.8797754479974,0.020381372435429156,holding_period,3,reversal
03277.HK,20260417,20260420,67.31724999999999,20260421,97.4025,1485,44676.59625000002,438.17330699999997,244.65374999997584,44238.42294300002,0.44253417660406535,take_profit,2,reversal
03355.HK,20260323,20260324,50.30024999999999,20260324,43.3566,1988,-13803.976199999976,309.62070215999995,186.17619999997927,-14113.596902159976,-0.14114034860661703,stop_loss,1,reversal
03388.HK,20260529,20260601,22.822799999999997,20260601,22.977,4381,675.550200000027,341.44094556000005,200.6497999999837,334.1092544400269,0.0033415374099587322,stop_loss,1,reversal
03625.HK,20260331,20260401,82.082,20260401,81.6183,1218,-564.7865999999776,338.67544788,199.38659999998967,-903.4620478799776,-0.00903680051655639,stop_loss,1,reversal
03636.HK,20260109,20260112,38.5385,20260114,40.87908,2594,6071.464520000009,353.251376544,206.01547999999724,5718.213143456009,0.05719993834736701,holding_period,3,reversal
03986.HK,20260113,20260114,230.22999999999996,20260116,271.728,434,18010.132000000027,379.34967839999996,217.86799999997947,17630.782321600025,0.17644930026495273,holding_period,3,reversal
